;;Name;Data File;Type;Level;Acq. Date-Time;i-C14:0;a-C14:0;C14:0;i-C15:0;a-C15:0;bohMe C16:0;C15:0;ribohMe C16:0;i-C16:0;7Me C17:0;C16:0;bohMe C17:0 sul284;bohMe C17:0 ;C16:1omega7;ribohMe C17:0;C16:1 omega5 ;i-C17:0;a-C17:0;10Me C18:0;C17:0;bohMe C18:0;C17delta;unk 126;C17:1 omega 9;C18:0;2-OH C14:0;bohMe C19:0;C18:1 omega 9 cis;C18:1 omega 9trans e 7cis;boh C18:1;C18:2;3-OH C14:0;C19:0;C19:0 delta;C20:0;2-OH C16:0;C20:2;cis-11.14-Eicosadienoic acid methyl ester
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9B3M.D;Sample;NA;23/06/2017 10:31;17096;163;74708;120174;84610;12957;17657;10079;77043;14961;925136;2136;108570;2214;82848;2495;40377;34548;1744;17720;64;1929;394182;393;5247;39;15872;17850;4142;5007;50195;958;608618;1590;809;12;735;377
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10B2M.D;Sample;NA;23/06/2017 11:16;8329;52;31322;96178;52295;8696;14905;3309;69472;10541;393317;1917;99625;2107;87908;2039;40826;32485;1544;14849;227;1591;112924;95;2953;17;23156;10461;3838;2917;24189;951;649756;1409;608;23;583;110
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2A1M.D;Sample;NA;23/06/2017 12:01;1170;92;6806;40665;19505;5062;5294;2829;34824;7667;179111;1564;66486;623;45062;711;27813;20401;1429;7829;83;1018;99852;159;1578;12;22211;3151;1871;1646;4666;670;486749;1161;332;72;87;879
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C1M FORSE.D;Sample;NA;23/06/2017 12:47;3017;152;15135;48250;26262;5376;8439;1932;41299;6367;211968;1091;57665;1663;45082;1040;23915;20600;857;9399;107;978;96445;53;1768;32;28109;4103;2808;2095;13254;767;394164;1075;472;42;450;152
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9A3M.D;Sample;NA;23/06/2017 13:32;4085;225;38527;68372;34698;8611;5171;1230;39495;8004;439301;1779;80261;1200;34886;1242;30674;22304;1131;11011;43;846;64423;15;3435;28;21772;16297;2259;9911;24722;1547;589538;1122;674;38;162;206
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4B3M.D;Sample;NA;23/06/2017 14:18;1329;14;33084;68001;39255;8268;14109;2110;66501;12817;524405;2053;95185;1541;96542;1947;42355;35402;1860;18122;233;1278;247675;97;4297;26;14828;15562;4040;18099;29334;444;559001;1587;995;57;507;344
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10A1M.D;Sample;NA;23/06/2017 15:03;11330;201;65433;89363;45830;5277;9056;5136;53771;6697;343809;1490;71452;1699;66310;1368;26439;20115;1024;10174;198;1179;534185;22;2397;22;12556;7277;2330;2217;13254;1252;446166;683;423;47;136;202
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2A3M.D;Sample;NA;23/06/2017 15:49;1207;70;5123;26871;13398;2943;3955;1656;23205;4792;120951;1034;41546;435;17354;618;18919;13685;875;5319;67;578;114932;73;1393;40;22329;2533;1387;1354;4443;289;358668;1057;254;22;766;319
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9A1M.D;Sample;NA;23/06/2017 18:45;6567;0;29975;86525;41407;8832;13474;1720;52883;10563;362235;1968;85756;1158;32305;1588;32823;24162;1656;11662;73;1027;270257;60;2616;12;31405;7051;2371;2963;43658;404;613937;1431;603;9;109;1184
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10C2M.D;Sample;NA;23/06/2017 19:31;10149;22;53001;105937;65061;9827;19268;4289;85637;11928;595894;2576;114011;2165;61410;2340;47526;41035;1557;16968;292;1838;262773;758;5082;34;31746;19634;5397;23442;37418;1299;489033;2121;979;16;154;165
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4C2M.D;Sample;NA;23/06/2017 20:17;5887;85;33046;98505;50425;6473;7741;3903;67376;12220;282495;1886;87545;1649;48089;1709;34897;29430;1380;10765;193;1450;482379;55;2255;17;26157;5090;3719;4371;13116;1082;586406;1451;410;28;86;477
