"";"MH.1";"MH.2";"Name";"DATA.FILE";"Type";"Level";"INJ.DATE";"STRINGA";"MAN";"FIELD";"TIL";"PARC";"12MetC14.0.on.242";"12MetC14.0.on.TIC";"11MetC14.0.on.242";"11MetC14.0.on.TIC";"00LinC14.0";"13MetC15.0";"12MetC15.0";"08MetC15.0";"00LinC15.0";"14MetC16.0";"12EthC16.0";"00Linc16.0";"12EthC17.0";"00LinC16.1";"15MetC17.0.on.TIC";"15MetC17.0";"00LinC16.1.om5.UNK";"14MetC17.0";"00LinC17.0";"00LinC17.2.9.10CIS";"00LinC17.1.om9";"10MetC17.0.on.TIC";"10MetC17.0.on.74";"10MetC17.0";"00LinC18.0";"00LinC18.1.om6.CISTRANS";"10MetC18.0.on.TIC";"10MetC18.0.on.74";"00LinC18.1.om5";"00LinC18.2";"00LinC19.0";"00LinC19.0.delta";"00LinC20.0";"00LinC20.2";"00LinC20.2.11.14CIS"
"15";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9C2M.D";"Sample";NA;2017-06-23 02:19:00;"CO09C2m";"CO";"09";"Fzo";"2";159;12088;435;572;46376;91352;50837;8166;14256;57929;9096;330034;75520;3080;106614;28056;1563;25085;12376;575;101;814662;63826;2405;2418;834;1048797;26654;401;23423;390760;119;371;907;824
"16";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10C3M.D";"Sample";NA;2017-06-23 03:05:00;"CO10C3m";"CO";"10";"Fzo";"3";85;7003;12;152;16387;51232;29250;4311;3934;34872;4815;140764;40546;1222;93366;17018;849;16398;5904;205;46;370842;31617;1120;1114;144;493086;14677;142;6946;215817;42;194;1656;524
"17";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4B1M.D";"Sample";NA;2017-06-23 03:51:00;"OO04B1m";"OO";"04";"Rip";"1";70;1124;25;227;6094;26461;14031;3303;6863;37528;7021;245222;60641;1363;184140;30007;1014;24527;8454;388;66;24457;76855;2851;2894;676;1065515;22936;68;12291;529145;111;551;516;632
"18";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2C1M.D";"Sample";NA;2017-06-23 04:37:00;"OO02C1m";"OO";"02";"Fzo";"1";47;2287;54;234;13825;49642;27093;5890;8068;47646;8568;222407;58288;1006;158641;26865;1081;21147;8464;104;66;577051;46458;1608;1604;269;702581;18731;73;8701;315199;150;352;348;909
"19";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10C1M.D";"Sample";NA;2017-06-23 05:23:00;"CO10C1m";"CO";"10";"Fzo";"1";109;7728;285;1;41407;78676;47362;7024;6059;56928;8774;353236;72210;3059;173420;28645;1511;29124;12164;103;88;503471;69425;2586;2596;733;1116950;25062;456;13687;501691;168;489;1238;497
"20";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4A2M.D";"Sample";NA;2017-06-23 06:10:00;"OO04A2m";"OO";"04";"Ara";"2";10;415;15;708;1959;15437;7997;2031;2352;18004;2948;101343;32367;737;45012;15188;728;11107;4192;20;14;12929;23492;43;804;142;420216;9505;121;504;257562;47;103;2982;313
"21";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10A2M.D";"Sample";NA;2017-06-23 06:56:00;"CO10A2m";"CO";"10";"Ara";"2";38;808;16;228;5764;17601;9343;1902;3207;17945;3425;137433;30724;623;53041;11847;436;9931;5029;26;58;10772;33975;1273;1289;339;510831;7869;73;4718;283899;34;185;374;301
"22";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2C2M.D";"Sample";NA;2017-06-23 07:42:00;"OO02C2m";"OO";"02";"Fzo";"2";106;13835;88;344;33955;91424;45023;6008;14623;64149;9441;258766;76545;2217;200110;31913;1644;26878;10031;44;148;1084464;53244;1853;1871;633;1059818;20530;244;11094;540957;87;522;1567;2047
"23";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10A3M.D";"Sample";NA;2017-06-23 08:28:00;"CO10A3m";"CO";"10";"Ara";"3";60;2289;29;70;14069;39353;20783;4587;4642;32941;5444;239938;54569;1610;94838;22877;1026;16367;7752;25;87;200722;49725;1664;1671;622;958417;9134;138;10096;276733;97;284;473;1502
"24";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4C3M.D";"Sample";NA;2017-06-23 09:14:00;"OO04C3m";"OO";"04";"Fzo";"3";82;2510;23;-25;25658;53708;30833;5773;12262;59820;8266;492644;78779;2962;144245;34752;2748;29323;16526;531;135;28513;109213;3789;3752;2234;2789476;31034;698;26430;484821;243;848;5113;142
