"";"";"";"Name";"Data File";"Type";"Level";"Acq. Date-Time";"i-C14:0";"a-C14:0";"C14:0";"i-C15:0";"a-C15:0";"bohMe C16:0";"C15:0";"ribohMe C16:0";"i-C16:0";"7Me C17:0";"C16:0";"bohMe C17:0 sul284";"bohMe C17:0 ";"C16:1omega7";"ribohMe C17:0";"C16:1 omega5 ";"i-C17:0";"a-C17:0";"10Me C18:0";"C17:0";"bohMe C18:0";"C17delta";"unk 126";"C17:1 omega 9";"C18:0";"2-OH C14:0";"bohMe C19:0";"C18:1 omega 9 cis";"C18:1 omega 9trans e 7cis";"boh C18:1";"C18:2";"3-OH C14:0";"C19:0";"C19:0 delta";"C20:0";"2-OH C16:0";"C20:2";"cis-11.14-Eicosadienoic acid methyl ester"
"11";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"11-2B2 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 10:34";0.226;0;0.4387;2.5017;1.7257;1.7912;0.2798;1.7765;1.4363;0.319;5.1742;4.0031;1.1523;0.3907;1.8473;0.1643;0.9752;0.8577;3.505;0.3889;0.7968;1.1676;1.2403;0.0044;10.8973;1.8003;3.0973;8.1231;1.0397;1.3514;5.7958;0.1615;20.719;0.1356;1.9403;0.7729;0.6387;0.4222
"12";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"12-10C3 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 11:20";0.103;0;0.297;2.2219;1.3722;1.7836;0.2468;1.7749;1.3872;0.2392;5.3421;4.0715;1.146;0.1819;2.1287;0.2104;1.0529;0.9153;3.6999;0.4173;0.6114;2.2492;1.4337;0.003;16.0158;1.4436;3.3444;10.8852;1.1239;1.6426;7.0652;0.2416;26.5049;0.3157;3.3588;3.4744;0.7133;0.2492
"13";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"13-10A3 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 12:07";0.306;0;0.5211;3.228;2.7546;1.8667;0.3393;1.7756;2.57;0.3369;5.8842;5.4963;1.7984;0.4191;2.2777;0.1608;1.3102;1.0254;5.2194;0.4164;0.9281;1.8407;1.8445;0.0016;16.5966;2.3103;3.0211;7.075;1.0341;1.5094;4.6716;0.1784;14.6582;0.1888;2.2403;1.2139;0.6191;0.428
"14";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"14-9A3 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 12:53";0.1348;0;0.409;2.1751;1.22;1.795;0.232;1.7469;0.9541;0.2468;5.4295;3.6213;1.0772;0.2427;1.1927;0.1591;0.7772;0.6591;2.9094;0.3664;0.4891;1.0656;1.4327;0.0032;55.8761;1.4507;2.8408;6.5957;0.944;0.8983;1.134;0.1691;20.1031;0.2014;2.8565;1.2867;0.6771;0.6744
"15";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"15-MIX BIS COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 13:39";0.204;0;0.499;2.739;2.2103;1.8252;0.3485;1.7625;2.0484;0.3121;6.4688;5.0771;1.5522;0.1775;2.8504;0.1682;1.2176;0.9517;4.6849;0.4279;1.0001;3.2796;2.9227;0.0059;40.1821;2.5458;3.2712;8.9211;1.1165;1.8892;5.6428;0.1745;24.1099;0.2431;4.0247;1.3736;0.6319;0.2327
"16";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"16-4B1 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 14:25";0;0;0;1.1653;0;1.7452;0.0414;1.7377;0;0.1545;2.8841;1.4943;0.3203;0.1754;1.0359;0.1557;0.33;0.2567;1.2296;0.2051;0.3832;0;1.463;0.004;22.4785;1.9334;2.481;3.6405;0.8355;0.5991;2.2888;0.175;10.5479;0.2333;1.3318;0.8502;0.6715;0.346
"17";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"17-10C1 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 15:11";0.5509;0;0.9441;4.3175;4.6271;1.8375;0.6266;1.8157;4.7881;0.5209;9.0188;7.5109;2.3047;0.1633;4.6078;0.2091;1.976;1.772;7.9865;0.6017;1.8761;4.4368;2.3681;9e-04;21.6084;0.8028;4.0707;14.9845;1.3044;3.2501;10.1285;0.1886;32.3274;0.2129;6.0812;0.9659;0.8431;0.3103
"18";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"18-9C1 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 15:57";0.0293;0;0.1863;1.9744;1.0737;1.7774;0.2288;1.7481;1.1453;0.2161;5.3821;3.574;0.9776;0.2394;0.9338;0.1401;0.8081;0.7234;2.713;0.3164;0.7945;1.697;1.4147;0.0024;14.9368;1.0624;2.9544;7.157;0.8528;1.0839;4.4834;0.161;16.3485;0.2285;2.0601;0.7737;0.6222;0.2778
"19";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"19-10B3 BIS COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 16:43";0.6067;0;1.1351;5.7601;5.948;1.9597;0.813;1.8539;5.574;0.6482;10.7482;12.0598;4.16;0.1601;2.467;0.2071;2.7202;2.0075;11.0333;0.8719;2.314;6.7021;2.3298;0.0024;22.4834;1.4666;3.9066;12.622;1.2589;3.4743;8.3781;0.159;28.3664;0.2077;6.0307;1.8125;0.6235;0.2586
"20";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"20-2B1 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 17:28";0.2394;0;0.4579;3.2948;2.9949;1.9337;0.3648;1.7791;3.5007;0.4911;6.4291;7.6438;2.2482;0.1569;1.5786;0.1476;1.7529;1.3429;9.2123;0.4283;1.3976;3.0292;1.5306;0.0132;11.0119;1.6606;3.2632;7.8362;1.0051;2.9106;5.564;0.1878;22.0527;0.1529;3.3632;1.2317;0.87;0.2564
