"";"MH1";"MH2";"Name";"Data.File";"Type";"Level";"Acq.Date.Time";"STAGIONE";"STRINGA";"MAN";"FIELD";"TIL";"PARC";"12MetC14.0.on.242";"12MetC14.0.on.TIC";"11MetC14.0.on.242";"11MetC14.0.on.TIC";"00LinC14.0";"13MetC15.0";"12MetC15.0";"08MetC15.0";"00LinC15.0";"14MetC16.0";"12EthC16.0";"00Linc16.0";"12EthC17.0";"00LinC16.1";"15MetC17.0.on.TIC";"15MetC17.0";"00LinC16.1.om5.UNK";"14MetC17.0";"12ProC18.0";"02HydC16.0";"00LinC17.0";"00LinC17.2.9.10CIS";"00LinC17.1.om9";"10MetC17.0.on.TIC";"10MetC17.0.on.74";"10MetC17.0";"00LinC18.0";"18MetC19.0";"00LinC18.1.om6.CISTRANS";"10MetC18.0.on.TIC";"10MetC18.0.on.74";"00LinC18.1.om5";"00LinC18.2";"00LinC19.0";"00LinC19.0.delta";"00LinC20.0";"00LinC20.2";"00LinC20.2.11.14CIS";"SOMMA.AREE"
"61";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"14-9A3 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 12:53:00;"Est";"CO09A3m";"CO";"09";"Ara";"3";310;7479;31;109;19477;66787;35937;4833;9284;36145;2308;275217;38130;106;23715;1996;113;22537;21220;482;18802;951;54;3512;100;0;123726;2995;3159;6084;2448;110;8514;1083538;47;3542;1255;43;1825096
"62";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"15-MIX BIS COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 13:39:00;"Est";"MS00D2m";"MS";"00";"D";"2";688;10686;20;104;21593;100579;56257;6277;14303;63114;6686;354867;55327;67;69621;10270;53;39139;37129;1457;31294;2402;62;3397;0;0;87702;6009;4144;5992;0;88;80116;1325896;57;4681;548;228;2400853
"63";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"16-4B1 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 14:25:00;"Est";"OO04B1m";"OO";"04";"Rip";"1";7;303;88;64;1586;5199;4353;914;1116;7520;828;85505;7086;15;20245;1147;32;7752;5129;540;4676;369;132;2683;0;0;47258;1585;1663;4169;653;165;26888;507649;10;2048;1172;223;750772
"64";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"17-10C1 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 15:11:00;"Est";"CO10C1m";"CO";"10";"Fzo";"1";1268;25454;2;7;41932;195111;106263;9130;26082;130787;7801;544188;84898;15;141361;18584;75;67270;63607;1444;63008;3171;43;7508;0;0;45306;9871;7526;0;445;257;151001;1822130;70;6877;35;0;3582527
"65";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"18-9C1 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 15:57:00;"Est";"CO09C1m";"CO";"09";"Fzo";"1";111;3106;26;36;9772;54544;32763;3304;9372;42271;1474;271220;33482;16;27876;6408;132;26309;19627;828;22533;1323;31;0;0;0;29931;4319;3125;926;473;249;59566;855645;23;2710;125;764;1524420
"66";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"19-10B3 BIS COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 16:43:00;"Est";"CO10B3m";"CO";"10";"Rip";"3";1398;28028;16;2;50843;284869;132530;16117;32794;150363;14528;673814;157231;5;99483;17945;116;95803;101597;825;68292;4275;29;0;159;0;47257;13197;5712;3953;1144;280;124586;1579999;11;6964;0;619;3714784
"67";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"20-2B1 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 17:28:00;"Est";"OO02B1m";"OO";"02";"Rip";"1";522;11971;61;1;20207;134758;72357;15121;14745;98541;12263;342748;84393;16;57968;7607;167;59618;78096;1191;44915;2218;85;0;0;0;21010;7847;3798;1841;922;172;77622;1200884;9;4053;60;784;2378571
"68";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"21-10C2 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 18:14:00;"Est";"CO10C2m";"CO";"10";"Fzo";"2";1083;21531;2;1;35321;187131;100673;14605;22818;116879;15423;463616;95542;107;81042;15179;114;63128;78760;1283;47961;3000;55;8037;0;0;131426;8801;3004;0;0;205;7512;1129213;14;6039;246;88;2659839
"69";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"22-9A1 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 19:00:00;"Est";"CO09A1m";"CO";"09";"Ara";"1";181;5207;49;55;14785;47783;25577;3152;7817;26297;2084;246329;25870;98;21694;4982;58;17507;14299;814;16374;463;111;0;0;0;112081;3106;3315;7184;0;115;69332;857445;93;3673;0;463;1538393
"70";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"23-10B1 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 19:46:00;"Est";"CO10B1m";"CO";"10";"Rip";"1";748;12357;4;136;23269;109905;59083;7092;11307;61899;7679;346527;49124;41;47274;5462;26;40641;39613;801;34261;989;144;0;0;0;51674;7400;4809;0;0;317;98166;1567620;12;4589;27;690;2593686
"71";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"24-2A3 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 20:32:00;"Est";"OO02A3m";"OO";"02";"Ara";"3";829;20117;58;56;34920;230896;110071;17903;23779;135081;19569;558697;147050;52;81599;13520;140;78954;106958;910;57224;3108;25;5641;74;0;92366;11279;5445;0;1003;261;112953;1560198;26;6380;55;667;3437864
"72";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"25-2C3 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 21:18:00;"Est";"OO02C3m";"OO";"02";"Fzo";"3";480;9128;126;231;30103;82389;44881;6204;16244;45164;2623;316634;24760;20;48039;1840;27;18494;17084;631;15404;676;59;0;0;0;25334;4351;4758;0;398;200;98721;1379115;33;3173;0;792;2198116
"73";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"26-4B3 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 22:04:00;"Est";"OO04B3m";"OO";"04";"Rip";"3";1046;20186;5;46;41844;206290;103863;18916;27191;126772;17448;582568;136882;34;101628;17101;21;81872;112512;1247;59640;4277;132;0;418;0;43986;11423;5797;0;0;463;117171;1674133;22;6312;0;3;3521249
"74";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"27-4C2 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 22:51:00;"Est";"OO04C2m";"OO";"04";"Fzo";"2";1150;20524;71;216;83571;223227;118318;17195;57945;143262;20110;762487;177365;10;128206;20143;102;82713;114175;495;65509;4005;48;0;106;0;66108;13906;6749;3760;1429;331;110847;1667327;63;7892;0;493;3919858
"75";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"28-2B3 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 23:38:00;"Est";"OO02B3m";"OO";"02";"Rip";"3";541;9158;46;19;12286;88234;50789;5001;10559;62506;3986;302523;27268;48;14145;408;40;23005;27977;548;22090;1735;92;0;0;0;32626;6911;245;4143;1675;283;100589;1652483;19;4327;0;582;2466887
"76";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"29-2A1 COLONNA TAGLIATA.D";"Sample";NA;2017-09-29 00:25:00;"Est";"OO02A1m";"OO";"02";"Ara";"1";158;3165;12;84;8982;42733;24452;3712;6719;33062;1739;220560;29466;53;24511;4015;33;24784;25629;340;19830;928;74;0;0;0;30944;3955;4406;0;0;131;85459;1210146;27;3183;33;592;1813917
"77";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"30-10B3 COLONNA TAGLIATA.D";"Sample";NA;2017-09-29 01:13:00;"Est";"CO10B3m";"CO";"10";"Rip";"3";384;9978;19;79;19692;111895;60655;6964;12762;75802;7456;334624;58464;59;70804;10863;78;41478;39740;413;35237;1772;35;7268;0;0;24746;6624;4380;0;0;58;87221;1253348;11;3891;0;13;2286813
"78";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"31-4A1 COLONNA TAGLIATA.D";"Sample";NA;2017-09-29 02:00:00;"Est";"OO04A1m";"OO";"04";"Ara";"1";63;4168;27;46;8989;47321;24087;2487;7878;31366;4303;229377;32239;58;51461;7023;83;12305;20975;551;22177;1003;35;3231;0;0;28162;4241;3968;0;435;225;77375;1203204;9;3291;162;379;1832704
"79";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"32-4B2 COLONNA TAGLIATA.D";"Sample";NA;2017-09-29 02:46:00;"Est";"OO04B2m";"OO";"04";"Rip";"2";321;5710;40;13;17250;102939;53173;8698;18023;88892;11459;454214;90014;6;64753;9184;89;52931;54664;694;39042;2196;64;8426;0;0;152343;8607;3440;0;977;174;10685;1473314;8;5787;749;40;2738919
"80";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"33-4A2 COLONNA TAGLIATA.D";"Sample";NA;2017-09-29 03:31:00;"Est";"OO04A2m";"OO";"04";"Ara";"2";89;3247;23;11;6843;31214;15142;2103;4221;21796;1806;134250;27583;60;30869;3474;63;16129;18146;274;12517;804;26;0;163;0;42992;3216;2251;0;0;97;40638;481167;19;2333;0;511;904077
"81";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"34-10A2 COLONNA TAGLIATA.D";"Sample";NA;2017-09-29 04:19:00;"Est";"CO10A2m";"CO";"10";"Ara";"2";502;7281;71;317;17040;123186;64321;11285;15508;92644;12586;363431;85331;51;110853;16346;36;52924;64005;1841;41336;2775;23;0;0;0;29537;7804;3676;2027;147;104;75844;1187591;31;4620;0;862;2395936
"82";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"35-9C3 COLONNA TAGLIATA.D";"Sample";NA;2017-09-29 05:06:00;"Est";"CO09C3m";"CO";"09";"Fzo";"3";69;2755;5;96;8143;43942;28150;2421;5124;38198;4662;221074;28828;29;40190;6635;50;25780;19623;161;23142;1546;5;0;0;0;18371;4458;3100;1530;127;83;60489;957886;14;3007;27;683;1550403
"83";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"36-4C3 COLONNA TAGLIATA.D";"Sample";NA;2017-09-29 05:54:00;"Est";"OO04C3m";"OO";"04";"Fzo";"3";263;7335;80;329;15377;71137;38142;5159;8604;47483;4999;261570;38392;49;58522;7230;70;29184;25177;308;24442;1686;62;0;0;0;23148;3979;3160;1869;4407;226;64641;977854;18;2690;28;706;1728326
"84";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"37-10A1 COLONNA TAGLIATA.D";"Sample";NA;2017-09-29 06:41:00;"Est";"CO10A1m";"CO";"10";"Ara";"1";601;11139;8;77;24088;113037;55462;8917;12987;60927;3972;330475;62227;3;52154;4846;47;42318;47997;399;32221;1373;21;0;116;0;47502;7369;5748;0;1954;404;121953;1782513;24;4693;20;583;2838175
"85";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"38-2C1 COLONNA TAGLIATA.D";"Sample";NA;2017-09-29 07:28:00;"Est";"OO02C1m";"OO";"02";"Fzo";"1";677;9731;10;118;15691;89755;48846;7646;7749;61711;8528;222670;54116;52;47238;10538;68;34432;48527;83;27948;1450;40;0;0;0;20366;5306;2453;0;280;85;44189;660478;38;2992;53;1750;1435614
"86";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"39-2A2 COLONNA TAGLIATA.D";"Sample";NA;2017-09-29 08:15:00;"Est";"OO02A2m";"OO";"02";"Ara";"2";859;19479;176;34;29412;177859;87165;16552;16671;101719;14888;341580;93944;101;124219;13718;25;58443;80041;605;43077;2295;12;0;0;0;49768;8819;3910;0;0;230;81687;1176993;58;5209;19;617;2550184
"87";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"40-BIANCO BIS COLONNA TAGLIATA.D";"Sample";NA;2017-09-29 09:02:00;"Est";"BI00N0";"BI";"00";"N";"0";51;147;9;96;1391;578;1566;119;995;185;1762;67712;1744;40;25501;302;59;224;108;100;812;248;158;50945;0;0;23721;32;2364;2001;133;146;43572;630237;96;1098;69;625;858946
