;;Name;Data File;Type;Level;Acq. Date-Time;i-C14:0;a-C14:0;C14:0;i-C15:0;a-C15:0;bohMe C16:0;C15:0;ribohMe C16:0;i-C16:0;7Me C17:0;C16:0;bohMe C17:0 sul284;bohMe C17:0 ;C16:1omega7;ribohMe C17:0;C16:1 omega5 ;i-C17:0;a-C17:0;10Me C18:0;C17:0;bohMe C18:0;C17delta;unk 126;C17:1 omega 9;C18:0;2-OH C14:0;bohMe C19:0;C18:1 omega 9 cis;C18:1 omega 9trans e 7cis;boh C18:1;C18:2;3-OH C14:0;C19:0;C19:0 delta;C20:0;2-OH C16:0;C20:2;cis-11.14-Eicosadienoic acid methyl ester
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10C1M.D;Sample;NA;23/06/2017 05:23;0,1411;0;0,9197;2,0993;1,6926;1,2383;0,1549;1,1791;1,6393;0,3766;5,9067;1,0788;1,9677;2,0356;1,8314;1,3367;0,91;0,9232;0,8703;0,4529;0,2858;1,6027;325,8095;0,0051;1,9302;0,7716;2,4383;3,1331;1,7181;1,4876;1,4611;0,1628;10,4489;1,1039;0,3774;0,7356;0,6087;0,2504
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4A2M.D;Sample;NA;23/06/2017 06:10;0;0;0,0078;0,4081;0,2826;1,1716;0,0662;1,1511;0,5696;0,2337;2,5095;0,754;0,9767;0,4052;0,3798;0,6907;0,5377;0,4248;0,4978;0,2482;0,2686;0,5461;152,0656;0,0008;0,7413;0,8292;2,4994;1,4539;1,1485;1,58;0,6294;0,1743;6,401;0,8266;0,1304;0,6743;0,6083;0,2383
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10A2M.D;Sample;NA;23/06/2017 06:56;0;0;0,0957;0,4659;0,3308;1,1692;0,0866;1,1565;0,568;0,226;2,9963;0,5226;0,9372;0,4632;0,9179;0,4734;0,4344;0,3923;0,5627;0,2697;0,2596;0,4449;24,8306;0,0034;1,0632;0,7173;2,2715;1,6153;0,9444;2,2127;0,8953;0,1643;6,8377;0,86;0,1785;0,6634;0,6212;0,2375
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2C2M.D;Sample;NA;23/06/2017 07:42;0,2823;0;0,7474;2,4403;1,6088;1,2232;0,3599;1,1881;1,8378;0,3811;4,6326;1,1312;2,1278;1,0719;1,4737;1,3574;1,0004;0,8611;1,1394;0,3982;0,3386;1,3993;870,862;0,0085;1,4494;0,9573;2,4533;2,6901;1,6933;1,5568;1,2976;0,1693;11,0999;1,7336;0,3988;0,6354;0,6079;0,2232
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10A3M.D;Sample;NA;23/06/2017 08:28;0,0154;0;0,2877;1,0477;0,7406;1,2065;0,121;1,1593;0,9801;0,2849;4,3787;0,9833;1,522;0,8641;0,8316;0,9339;0,7504;0,5703;0,8401;0,3396;0,2382;0,7841;121,9738;0,005;1,3165;1,1477;2,4543;2,6423;1,2174;1,1244;1,2346;0,1766;6,7189;0,8272;0,2429;0,7295;0,6274;0,2337
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4C3M.D;Sample;NA;23/06/2017 09:14;0,0205;0;0,5556;1,4316;1,1006;1,2173;0,3034;1,1676;1,7188;0,3619;7,7868;1,1739;2,1654;1,7565;1,3076;2,2712;1,0789;0,9287;0,97;0,5649;0,3995;1,6898;314,0827;0,0078;2,6975;0,9738;2,3762;6,7077;2,0997;8,2202;2,2651;0,2097;10,1691;1,5342;0,616;0,6499;0,6145;0,227
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9B3M.D;Sample;NA;23/06/2017 10:31;0,3577;0;1,6896;3,2092;3,0268;1,3175;0,4325;1,2787;2,1921;0,5247;13,6196;1,6338;2,9281;1,8617;2,2677;2,0805;1,2345;1,0733;1,365;0,5956;0,2501;2,1855;1080,5363;0,0227;3,6895;1,0996;2,3936;7,5962;2,1881;2,5295;3,7645;0,1803;12,2218;1,865;0,5868;0,6219;0,644;0,2425
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10B2M.D;Sample;NA;23/06/2017 11:16;0,155;0;0,6866;2,5674;1,8693;1,2601;0,3666;1,1874;1,984;0,4112;6,4472;1,4758;2,6984;1,7781;2,3976;1,7251;1,247;1,0162;1,232;0,5219;0,3582;1,8328;310,3031;0,0055;2,167;0,8273;2,5143;4,6812;2,0682;1,7047;2,1237;0,18;12,9039;1,667;0,4553;0,6764;0,6344;0,2248
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2A1M.D;Sample;NA;23/06/2017 12:01;0;0;0,1198;1,0828;0,6948;1,2111;0,1366;1,1809;1,0319;0,3375;3,5584;1,2216;1,8476;0,6199;1,2976;0,6885;0,887;0,6819;1,1559;0,3416;0,2625;1,2334;274,5061;0,0092;1,255;0,7708;2,4987;1,7973;1,2922;1,2033;0,892;0,1699;10,2011;1,3945;0,2744;0,9091;0,6031;0,2757
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C1M FORSE.D;Sample;NA;23/06/2017 12:47;0,0322;0;0,3123;1,2856;0,9368;1,2153;0,2119;1,1688;1,2098;0,3041;4,0015;0,8799;1,6211;1,4311;1,2981;0,945;0,7792;0,6875;0,7762;0,3819;0,2782;1,1921;265,1757;0,003;1,3811;1,0132;2,5965;2,1727;1,662;1,3808;1,4338;0,1734;8,666;1,3004;0,3663;0,7659;0,626;0,2276
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9A3M.D;Sample;NA;23/06/2017 13:32;0,0569;0;0,8531;1,8238;1,239;1,2589;0,1336;1,1594;1,1602;0,3461;7,0674;1,376;2,2013;1,0699;1,0363;1,1026;0,9661;0,7346;0,9578;0,4233;0,2359;1,0541;177,4831;0,0009;2,4874;0,9652;2,4914;6,9838;1,4453;4,4644;2,1573;0,2014;11,9055;1,352;0,4983;0,7478;0,6078;0,2312
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4B3M.D;Sample;NA;23/06/2017 14:18;0;0;0,7273;1,8138;1,4022;1,2543;0,3476;1,1712;1,9024;0,4697;8,2151;1,5738;2,5844;1,3365;2,6193;1,6532;1,2893;1,0969;1,4418;0,6059;0,3621;1,5051;679,3233;0,0056;3,0592;0,9456;2,3763;6,6937;2,1479;7,6947;2,4483;0,1618;11,3991;1,8626;0,709;0,8394;0,6296;0,2403
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10A1M.D;Sample;NA;23/06/2017 15:03;0,2244;0;1,4751;2,3852;1,6377;1,214;0,2266;1,2121;1,5525;0,3125;5,7795;1,168;1,9751;1,4598;1,8431;1,2008;0,849;0,674;0,887;0,4018;0,3387;1,4019;1463,9397;0,0013;1,7983;0,8943;2,3386;3,4249;1,4732;1,4287;1,4338;0,1908;9,5282;0,8705;0,3344;0,7907;0,6062;0,2309
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2A3M.D;Sample;NA;23/06/2017 15:49;0;0;0,0809;0,7139;0,476;1,1825;0,1045;1,1651;0,7126;0,2637;2,774;0,8394;1,2073;0,4727;0,5862;0,6161;0,6409;0,4961;0,7882;0,2772;0,2522;0,7733;315,8036;0,0042;1,132;1,1129;2,5006;1,5535;1,1014;1,0883;0,8779;0,1562;8,0774;1,281;0,2233;0,67;0,646;0,2387
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9A1M.D;Sample;NA;23/06/2017 18:45;0,1143;0;0,6554;2,3093;1,4793;1,2619;0,3324;1,166;1,5281;0,4118;6,028;1,5122;2,3424;1,0376;0,97;1,3725;1,0256;0,786;1,3068;0,44;0,2557;1,2429;741,1642;0,0035;1,9435;0,7694;2,6511;3,336;1,4896;1,7229;3,352;0,1604;12,31;1,6906;0,452;0,6074;0,6045;0,2959
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10C2M.D;Sample;NA;23/06/2017 19:31;0,1971;0;1,1877;2,8284;2,3266;1,2753;0,4711;1,2006;2,4283;0,4469;9,1793;1,9508;3,0678;1,8234;1,7173;1,9597;1,4323;1,2527;1,241;0,5762;0,4014;2,0901;720,6683;0,0437;3,5802;1,0458;2,6568;8,3001;2,6833;9,8027;2,9583;0,1925;10,239;2,4483;0,698;0,641;0,6073;0,2285
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4C2M.D;Sample;NA;23/06/2017 20:17;0,0985;0;0,7264;2,6296;1,8023;1,2301;0,1952;1,1954;1,9264;0,4544;4,9526;1,4536;2,3883;1,4205;1,3753;1,4673;1,083;0,9317;1,1231;0,417;0,3355;1,6845;1322,0662;0,0032;1,7039;0,8315;2,5641;2,5621;2,0212;2,2787;1,4251;0,1847;11,8535;1,713;0,3256;0,7004;0,603;0,2491
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10B1M.D;Sample;NA;23/06/2017 21:03;0,0372;0;0,3661;1,7028;1,3492;1,2408;0,4374;1,1929;1,7022;0,3931;5,4559;1,4628;2,6819;1,4883;1,6116;1,4772;1,049;0,9451;1,1296;0,5063;0,3402;1,5417;361,64;0,0437;1,8116;0,7245;2,381;3,2262;1,9398;1,8987;1,6298;0,1647;9,7794;2,0544;0,4968;0,8996;0,6032;0,2571
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2B2M.D;Sample;NA;23/06/2017 21:49;0,0259;0;0,4718;1,528;1,165;1,2382;0,2721;1,1803;1,5403;0,373;6,6576;1,3893;2,4618;0,7454;1,3908;1,1812;1,0342;0,871;1,2328;0,5058;0,2854;0,9137;240,1189;0,0125;2,5648;1,138;2,6572;6,337;1,7098;6,1727;2,5181;0,1797;9,5476;1,7221;0,4688;0,6942;0,6042;0,2343
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2C3M.D;Sample;NA;23/06/2017 22:35;0,1146;0;0,401;1,9595;1,3115;1,2557;0,2329;1,1944;1,4042;0,3558;3,6874;1,1132;1,7503;0,6875;0,9971;1,0937;0,9167;0,7086;1,1602;0,3502;0,2514;0,8823;473,6982;0,0035;1,1948;0,8144;2,3079;1,7249;1,2903;1,0343;0,8848;0,1968;7,7791;1,4823;0,2373;0,647;0,655;0,2475
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4A1M.D;Sample;NA;23/06/2017 23:21;0,0253;0;0,1004;0,8983;0,5601;1,1837;0,1266;1,1588;0,7407;0,2387;2,5993;0,732;1,0663;0,5616;1,0871;0,8096;0,5436;0,4581;0,5269;0,2293;0,2292;0,6979;355,7786;0,015;0,656;1,4122;2,5079;1,2631;1,1009;1,2417;0,8307;0,1645;5,2826;0,8093;0,1627;0,6553;0,632;0,2217
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9A2M.D;Sample;NA;24/06/2017 00:07;0,1224;0;0,6974;1,7345;1,0904;1,2173;0,2512;1,164;1,156;0,3114;4,38;0,8828;1,7382;0,6934;0,9727;0,8738;0,783;0,6281;0,8631;0,3374;0,2168;0,8239;939,5631;0,0012;1,32;1,0771;2,5984;2,0549;1,2516;2,9451;0,8749;0,1804;6,912;0,8646;0,2597;0,6348;0,6224;0,2423
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4C1M.D;Sample;NA;24/06/2017 00:53;0,3609;0;1,9328;2,8845;2,354;1,294;0,4666;1,2028;2,0054;0,4252;7,3803;1,0217;2,1201;3,0876;1,5665;1,8169;0,875;0,7931;0,5882;0,4489;0,3097;1,2369;1092,948;0,002;1,836;1,4239;2,6046;4,2424;1,7876;6,1633;1,7479;0,1758;6,5896;1,1475;0,3548;0,6958;0,6021;0,2701
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4A3M.D;Sample;NA;24/06/2017 01:39;0,0257;0;0,495;1,2115;0,82;1,2109;0,2223;1,1754;1,0651;0,3181;4,521;1,0736;1,5604;0,5657;1,2884;0,8783;0,6914;0,5179;0,7566;0,2741;0,273;0,8653;376,3157;0,0138;1,4855;0,9282;2,8154;2,0371;1,2657;3,5622;1,0379;0,1697;9,4259;1,1258;0,2433;0,9271;0,6002;0,2735
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2A2M.D;Sample;NA;24/06/2017 02:25;0,0173;0;0,1564;1,3192;0,9902;1,2471;0,1937;1,1891;1,315;0,4146;3,6294;1,4492;2,0317;0,459;0,76;1,1635;0,9532;0,8074;1,3439;0,3687;0,2647;1,045;116,9407;0,0013;1,3603;0,9185;2,3915;1,8985;1,4993;1,243;0,9327;0,1715;7,5244;1,6342;0,2897;0,8998;0,6349;0,4296
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C3MR.D;Sample;NA;24/06/2017 03:11;0,1408;0;0,3475;1,7627;1,2277;1,2181;0,2631;1,185;1,2391;0,2824;3,5336;0,9248;1,6367;1,6568;1,0439;1,0551;0,744;0,6577;0,7488;0,3215;0,2877;1,0544;951,9722;0,0008;1,2186;0,7312;2,432;1,9507;1,595;1,7939;1,4483;0,1955;7,432;1,1485;0,2778;0,6258;0,6103;0,2587
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C1MR.D;Sample;NA;24/06/2017 03:57;0,0113;0;0,1422;0,1088;0,3316;1,1582;0,1332;1,1593;0,4875;0,1921;2,0645;0,3168;0,6553;0,5332;0,4551;0,5757;0,3095;0,2846;0,3422;0,1961;0,219;0,4171;1321,723;0,004;0,6083;1,5183;2,4889;1,0864;0,8961;0,7006;0,9517;0,2339;4,5165;0,3615;0,1298;0,744;0,6175;0,2553
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2B1 M.D;Sample;NA;26/06/2017 09:53;0;0;0;2,1687;0,0721;1,1445;0,0263;1,1458;0,1624;0,1956;2,1176;0,152;0,1515;1,7145;0,9482;0,2442;0,1833;0,3262;0,2252;0,1612;0,2818;0,3042;2,8906;0,0016;0,5287;0,8877;2,5555;0,5632;0,5718;0,9538;0,6458;0,1663;2,1429;0,164;2,7554;0,7103;0,6022;0,278
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 500 M.D;Cal;1;26/06/2017 11:24;0;0;1,3991;1,3932;1,3951;1,1437;1,4134;1,1451;1,3899;0,1433;1,9002;0,169;0,1515;1,3846;0,1435;0,1922;1,4254;0,1357;0,2413;1,4123;0,2141;1,3562;2,4269;0,0035;1,4733;1,5902;2,7249;1,7872;1,7935;2,0859;1,7477;1,3412;2,9007;1,4429;1,5498;2,0504;0,61;0,2688
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 300 M.D;Cal;2;26/06/2017 12:10;0;0;1,8363;1,7786;1,7742;1,1455;1,7223;1,1448;1,6237;0,1432;1,9814;0,1726;0,2135;1,5148;0,2064;0,1811;1,491;0,1206;0,2162;1,4624;0,2151;1,4789;2,9385;0,0015;1,2473;0,947;2,2197;1,7123;1,6871;6,0903;1,6248;1,5467;2,8434;1,4601;1,4461;1,3473;0,6374;0,2403
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 200 M.D;Cal;3;26/06/2017 12:56;0;0;3,8422;3,873;3,8745;1,1457;3,8943;1,1443;3,9515;0,1422;3,3676;0,1429;0,1409;4,0113;0,363;0,1396;4,006;0,118;0,2203;4,0247;0,2128;4,0351;3,1187;0,0116;4,1119;3,5561;2,7805;4,2365;4,2308;16,7732;4,307;4,0063;4,4225;4,0156;3,987;4,3567;0,6521;0,2627
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 100 M.D;Cal;4;26/06/2017 13:42;0;0;6,0325;5,8004;5,7497;1,1445;5,5117;1,1431;5,2059;0,1776;3,9899;0,168;0,1977;5,2028;0,2552;0,1998;5,1822;0,1176;0,2204;5,3102;0,219;5,3787;4,502;0,0262;4,8967;8,0221;2,3151;5,4047;5,4347;1,6987;5,5681;5,5031;5,0944;4,2958;5,1258;5,4987;0,6279;0,2736
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 20 M.D;Cal;6;26/06/2017 14:52;0,0489;0;110,8933;95,1254;94,3783;1,1444;89,8057;1,1468;71,4767;0,1466;39,5039;0,1381;0,1417;67,9521;1,4284;0,3591;54,3692;0,1192;0,2221;27,6938;0,2433;57,6309;38,7291;0,006;59,0868;139,5509;2,5321;45,458;45,4616;199,664;59,5225;95,2034;41,0628;66,1952;92,3902;95,1321;0,6597;0,2711
!;!;c19 dil 50;STD BAME DIL 50.D;Cal;5;28/06/2017 16:59;0;0;28,8752;27,2733;27,1732;1,1448;26,2444;1,1433;23,8507;0,2095;13,9841;0,1011;0,1413;21,1476;0,9017;0,1453;20,4875;0,1197;0,2302;18,9047;0,2347;18,2235;14,9723;0,1097;16,2369;35,4293;2,4602;17,2531;17,2678;76,4642;17,2648;23,4035;11,1158;14,1827;14,8638;17,2943;0,617;0,2227
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO02B1M2016.D;Sample;NA;42805,8354166667;0,0131;0;0,1185;0,5023;0,329;1,1561;0,0933;1,2168;0,367;0,1682;2,5391;0,8072;0,4371;0,4254;0,7123;0,1556;0,3285;0,2063;0,9492;0,2034;0,2676;0,411;1,1065;0,0009;35,7593;0,646;2,5455;3,1248;0,6549;0,7772;0,7114;0,1559;12,5018;0,1481;1,0706;0,6727;0,5982;0,2463
!;!;2.5 G SUOLO RIPRESO CON 200 UL EPTANO;MIX2016-2E5G.D;Sample;NA;42805,8979166667;0,4076;0;0,8185;5,0123;2,9141;1,3293;0,562;2,0445;3,3191;0,5376;7,0904;8,0074;2,67;0,7442;2,4346;0,1396;2,0729;1,6114;9,3882;0,6826;1,3611;3,2407;1,1944;0,0002;38,3461;0,8825;3,7379;4,9904;1,0879;0,8993;0,9071;0,1849;20,4694;0,159;3,0244;0,7444;0,6006;0,2328
