Sample,,,,,,,i-C14:0 Results,a-C14:0 Results,C14:0 Results,i-C15:0 Results,a-C15:0 Results,bohMe C16:0 Results,C15:0 Results,ribohMe C16:0 Results,i-C16:0 Results,7Me C17:0 Results,C16:0 Results,bohMe C17:0 sul284 Results,bohMe C17:0  Results,C16:1omega7 Results,ribohMe C17:0 Results,C16:1 omega5  Results,i-C17:0 Results,a-C17:0 Results,10Me C18:0 Results,C17:0 Results,bohMe C18:0 Results,C17delta Results,unk 126 Results,C17:1 omega 9 Results,C18:0 Results,2-OH C14:0 Results,bohMe C19:0 Results,C18:1 omega 9 cis Results,C18:1 omega 9trans e 7cis Results,boh C18:1 Results,C18:2 Results,3-OH C14:0 Results,C19:0 Results,C19:0 delta Results,C20:0 Results,2-OH C16:0 Results,C20:2 Results,cis-11.14-Eicosadienoic acid methyl ester Results
,,Name,Data File,Type,Level,Acq. Date-Time,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,16-4B1 COLONNA TAGLIATA.D,Sample,,28/09/2017 14:25,392,103,1479,5245,4421,1024,1318,464,7699,543,86087,1339,6998,54,34872,29,7679,5028,1078,2513,265,91,148,69,47246,106,21147,7823,713,114,26806,811,507666,102,2001,59,1172,1942
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,17-10C1 COLONNA TAGLIATA.D,Sample,,28/09/2017 15:11,25454,335,42461,197306,106392,7916,25766,6284,131371,14812,544299,10924,84290,38,173993,97,67179,59805,10789,17957,2514,3204,478,16,45249,15,117023,36577,1902,6834,151067,1191,1821193,83,6790,83,3892,1403
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,18-9C1 COLONNA TAGLIATA.D,Sample,,28/09/2017 15:57,2891,221,9682,54544,32686,3426,9145,1235,42436,2941,272666,4652,32598,136,30893,9,24961,21898,3210,6848,885,1385,130,41,29940,36,49695,16736,757,1343,61590,423,857498,98,2735,43,389,910
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,19-10B3 BIS COLONNA TAGLIATA.D,Sample,,28/09/2017 16:43,27868,98,50723,285203,133789,17041,33554,9143,150559,19769,673471,18171,156551,34,90610,95,94083,68317,15168,28483,3174,4708,464,42,47257,68,107124,30589,1787,7402,123323,365,1582305,79,6739,259,411,620
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,20-2B1 COLONNA TAGLIATA.D,Sample,,28/09/2017 17:28,11980,68,21431,134996,72535,15104,14830,3552,99941,13652,350873,11136,82090,30,56010,18,59114,44294,12551,11203,1793,2270,173,230,20933,84,68319,18458,1143,5973,78718,1169,1201524,29,4049,138,4317,588
,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,21-10C2 COLONNA TAGLIATA.D,Sample,,28/09/2017 18:14,20887,275,34078,187310,100673,14784,23496,4966,114595,15619,463765,12174,95542,114,99816,41,62539,47634,11815,18125,1856,2900,371,63,131412,43,54370,13485,807,1200,7481,605,1129500,77,5996,214,4229,2830
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,22-9A1 COLONNA TAGLIATA.D,Sample,,28/09/2017 19:00,5385,214,14248,47783,25571,2964,7955,1730,26297,2642,249996,3964,25870,65,30952,83,17554,15531,2663,6863,487,532,272,66,112104,43,49853,18906,1022,1793,69332,834,857248,34,3678,82,671,446
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,23-10B1 COLONNA TAGLIATA.D,Sample,,28/09/2017 19:46,12367,126,23398,109905,59217,7053,12521,2440,62371,7555,346250,7136,48897,40,56061,96,40934,33536,6757,11953,1044,2084,150,19,51652,49,77104,25972,1486,364,98259,3602,1568655,44,4620,141,2812,572
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,24-2A3 COLONNA TAGLIATA.D,Sample,,28/09/2017 20:32,20516,122,34841,232860,110369,17559,23867,6476,135165,20351,559246,18065,146303,30,69362,75,77362,56063,16129,21334,3025,3389,118,22,92332,50,96206,27889,1424,828,112830,1264,1560297,72,6356,263,7137,594
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,25-2C3 COLONNA TAGLIATA.D,Sample,,28/09/2017 21:18,9353,119,29738,82264,44962,5987,16145,1948,43550,3085,319205,4878,23771,30,23031,32,18473,14864,4396,5735,903,1125,37,59,25394,97,67189,25613,1349,1028,99647,1697,1380905,65,3175,164,2886,1874
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,26-4B3 COLONNA TAGLIATA.D,Sample,,28/09/2017 22:04,20289,115,42166,206290,103173,17931,27267,6300,126027,19488,582517,16306,135976,173,72621,105,79204,60227,16453,22286,2937,4283,654,12,44015,184,101951,27689,2191,874,117213,537,1673798,44,6333,150,10462,1226
,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,27-4C2 COLONNA TAGLIATA.D,Sample,,28/09/2017 22:51,20887,514,83669,223519,118360,19110,57980,9220,142505,16933,762777,17442,177365,64,133795,64,82608,64060,17521,33200,3042,4001,174,48,66115,153,124785,35682,1665,1689,110691,1082,1668663,90,8140,69,8640,1920
,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,28-2B3 COLONNA TAGLIATA.D,Sample,,28/09/2017 23:38,9156,204,12129,88143,50690,4807,11289,2196,61642,4864,305784,5127,26751,227,20685,49,23442,23585,5197,11773,1242,1713,246,9,32663,105,78980,24053,1246,2552,100517,854,1652905,96,4372,119,2748,1064
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,29-2A1 COLONNA TAGLIATA.D,Sample,,29/09/2017 00:25,3368,162,9102,42776,24473,3421,6696,2195,33122,3517,220462,4687,29582,58,33021,58,25507,19793,3867,6928,863,911,199,1,31021,38,64561,22759,908,725,85247,834,1210863,229,3340,53,1152,592
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,30-10B3 COLONNA TAGLIATA.D,Sample,,29/09/2017 01:13,10013,56,19353,112427,60713,7757,12748,4125,76410,8376,334406,7493,57463,224,102813,61,43921,35183,6186,12858,1225,1734,424,293,24748,127,68523,22716,1073,4776,87455,291,1252248,50,3951,211,545,1212
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,31-4A1 COLONNA TAGLIATA.D,Sample,,29/09/2017 02:00,4146,129,10410,47306,24360,2594,7959,1006,31243,3831,229400,4418,30668,52,46420,63,11842,20457,3173,6677,681,51,87,34,28170,64,55298,19739,1224,5202,77592,408,1203651,7,3285,113,2788,329
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,32-4B2 COLONNA TAGLIATA.D,Sample,,29/09/2017 02:46,5721,449,16570,102537,52296,7651,17725,2447,89405,11862,454175,11222,90053,316,51196,51,52988,39075,9361,15669,1797,2171,405,53,152325,50,65532,17317,1295,4309,10900,1188,1474936,124,5917,46,718,833
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,33-4A2 COLONNA TAGLIATA.D,Sample,,29/09/2017 03:31,3317,57,6816,31043,15037,2410,4234,553,23040,2336,134360,4114,27576,54,52562,71,16083,12395,3390,5115,539,1100,188,53,43076,60,35113,11065,596,1095,42064,667,480224,183,2345,42,113,462
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,34-10A2 COLONNA TAGLIATA.D,Sample,,29/09/2017 04:19,7337,533,17247,123231,64912,11368,15502,3583,92758,12917,363305,10475,85269,58,100010,55,52793,41245,10236,15008,1960,2807,130,34,29641,116,72963,18692,1594,1759,74130,882,1187874,79,4619,75,450,509
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,35-9C3 COLONNA TAGLIATA.D,Sample,,29/09/2017 05:06,2798,535,7823,43824,27221,2682,5708,1434,38881,2328,220895,3801,29577,177,33653,46,25033,22967,3466,7785,864,1546,350,50,18389,17,47223,15434,926,2546,60489,456,958018,35,3067,138,2933,319
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,36-4C3 COLONNA TAGLIATA.D,Sample,,29/09/2017 05:54,7424,372,15078,71392,38064,5214,8501,1593,47476,4333,260971,4848,38222,52,100158,47,29179,24185,4503,8808,1241,1731,380,62,23135,113,47863,17074,934,2443,63787,268,977816,74,2791,58,1919,1834
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,37-10A1 COLONNA TAGLIATA.D,Sample,,29/09/2017 06:41,11231,204,24061,113256,55551,8785,12805,3163,60569,3156,330349,8371,61519,11,43582,58,42049,31593,7667,11654,1340,1424,225,14,47513,25,90193,29771,1510,2114,121867,555,1782888,33,4678,34,1872,616
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,38-2C1 COLONNA TAGLIATA.D,Sample,,29/09/2017 07:28,9601,743,15205,89815,48764,8614,7815,2208,61693,6834,223331,6897,53622,246,67885,13,34053,27168,7039,9653,1233,1470,199,23,20412,73,41371,11727,851,1981,44189,587,660584,114,3069,202,87,3191
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,39-2A2 COLONNA TAGLIATA.D,Sample,,29/09/2017 08:15,20578,349,29665,177676,87173,16311,16705,6992,101973,15296,341112,11871,93240,47,121621,23,57117,42639,13786,14282,1907,2289,321,21,49776,131,70028,20456,1425,2560,81712,1445,1177833,73,5245,113,3457,617
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,40-BIANCO BIS COLONNA TAGLIATA.D,Sample,,29/09/2017 09:02,218,1977,1085,604,1570,111,1128,82,1222,1906,68312,132,724,59,26500,28,372,647,25,1291,58,111,119,157,23764,34,27915,11578,580,1306,43625,492,630348,80,1173,103,418,3333
