Sample;;;;;;;i-C14:0 sul 242 Results;i-C14:0 Results;a-C14:0 sul 242 Results;a-C14:0 Results;C14:0 Results;i-C15:0 Results;a-C15:0 Results;8MethylC15:0 Results;C15:0 Results;i-C16:0 Results;12EthylC16:0 Results;C16:0 Results;12EthylC17:0 Results;C16:1 Results;i-C17.0 sul tic  Results;i-C17:0 Results;C16:1 omega5  Results;a-C17:0 Results;2HydroxyC16:0 Results;C17:0 Results;cis 9,10 methylenehexadecanoate Results;C17:1 omega 9 Results;10MethylC17:0 sul tic Results;10MethylC17:0 sol 74 Results;10MethylC17:0 Results;C18:0 Results;C18:1 omega 6 cis e trans Results;10MethylC18:0 sul tic Results;10MethylC18:0 sul 74 Results;C18:1 omega 5 Results;C18 :2 Results;C19:0 Results;C19:0 delta Results;C20:0 Results;C20:2 Results;cis-11,14-Eicosadienoic acid methyl ester Results
;;Name;Data File;Type;Level;Acq. Date-Time;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2C2M.D;Sample;;23/06/2017 07:42;106;13835;88;45;33955;91424;45023;6008;14623;64149;9441;258766;76545;1202;200110;31913;1644;26878;168;10031;429;148;1084464;53244;1853;1871;633;1059818;20530;244;11094;540957;87;522;1567;2047
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2C1M.D;Sample;;23/06/2017 04:37;47;2287;54;60;12981;49642;27093;5890;8068;47646;8568;222407;58288;691;158641;26865;1081;21147;115;8464;68;66;577051;46458;1608;1604;269;702581;18731;262;8701;315199;150;352;348;909
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2B3 M.D;Sample;;22/06/2017 23:15;94;12293;14;21;34449;78583;44818;6863;10486;46383;6809;198680;50744;934;121288;21180;1009;16985;366;5413;94;209;677103;39922;1418;1396;266;553657;10748;238;6481;322484;154;268;1550;1941
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2B2M.D;Sample;;23/06/2017 21:49;92;2745;7;83;22031;57311;32632;6746;10956;53326;8818;408916;75220;784;197116;33135;1366;27235;366;14224;146;216;29740;87475;3573;3552;1970;2474322;24578;448;30440;447333;78;629;1275;253
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2B1 RICORSO M.D;Sample;;26/06/2017 10:38;22;267;42;39;522;3685;2250;45;255;457;987;2681;7409;112;55223;701;79;162;211;136;148;16;8468;5215;9;10;14;104815;49674;12;533;728;109;35;3156;888
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2B1 M.D;Sample;;26/06/2017 09:53;86;149;25;30;177;81268;2122;134;685;115;2162;72282;3912;2026;22677;2376;142;7543;360;801;90;27;435584;147447;21;212;17;796098;25397;43;913;756;59;4120;7202;1726660
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2A3M.D;Sample;;23/06/2017 15:49;49;1207;26;70;5123;26871;13398;1949;3955;23205;4723;120951;41396;435;63269;18919;604;13685;159;5319;71;73;20502;33397;1367;1393;204;495848;8313;196;4443;358668;72;254;766;319
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2A2M.D;Sample;;24/06/2017 02:25;92;2374;15;110;8390;49504;27753;7724;7679;45129;10577;184377;73293;417;136547;30208;1330;24935;97;8882;276;22;30642;46153;1774;1737;460;752928;19037;336;5312;325315;141;355;591;3206
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2A1M.D;Sample;;23/06/2017 12:01;32;1170;27;92;6806;40665;19505;5036;5294;34824;7421;179111;66650;623;174368;27813;715;20401;112;7829;192;159;395828;45244;1584;1578;336;623047;11039;137;4666;486749;119;332;2305;879
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;MIX SOIL.D;Sample;;23/06/2017 01:33;35;6508;11;175;14799;76015;37885;6520;9772;51996;8157;254631;74500;1619;162250;32176;1451;24770;26;10009;379;70;1127836;53402;1770;1762;572;1033753;24163;391;24357;496238;144;339;622;455
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10C3M.D;Sample;;23/06/2017 03:05;85;7003;12;60;16387;51232;29250;4311;3934;34872;4815;140764;40546;1129;93366;17018;849;16398;76;5904;280;46;370842;31617;1120;1114;144;493086;14677;142;6946;215817;42;194;1656;524
