Sample;;;;;;;i-C14:0 sul 242 Results;i-C14:0 Results;a-C14:0 sul 242 Results;a-C14:0 Results;C14:0 Results;i-C15:0 Results;a-C15:0 Results;8MethylC15:0 Results;C15:0 Results;i-C16:0 Results;12EthylC16:0 Results;C16:0 Results;12EthylC17:0 Results;C16:1 Results;i-C17:0 sul tic  Results;i-C17:0 Results;C16:1 omega5  Results;a-C17:0 Results;forse12propylC18:0 Results;2HydroxyC16:0 Results;C17:0 Results;cis 9.10 methylenehexadecanoate Results;C17:1 omega 9 Results;10MethylC17:0 sul tic Results;10MethylC17:0 sol 74 Results;10MethylC17:0 Results;C18:0 Results;forse i-C19:0 Results;C18:1 omega 6 cis e trans Results;10MethylC18:0 sul tic Results;10MethylC18:0 sul 74 Results;C18:1 omega 5 Results;C18:2 Results;C19:0 Results;C19:0 delta Results;C20:0 Results;C20:2 Results;cis-11.14-Eicosadienoic acid methyl ester Results
;;Name;Data File;Type;Level;Acq. Date-Time;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4B1M.D;Sample;;23/06/2017 03:51;70;633;25;104;6094;26461;14031;3303;6863;37528;7021;245222;60641;772;184140;30007;1014;24527;44906;81;8454;396;66;1754;104;4;2894;279;573;707;26;157;12291;529145;1418;551;516;632
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2C1M.D;Sample;;23/06/2017 04:37;47;2287;54;60;12981;49642;27093;5890;8068;47646;8568;222407;58288;691;158641;26865;1081;21147;37890;115;8464;68;66;1785;351;5;1604;343;290;2540;44;262;8701;315199;1173;352;348;909
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10C1M.D;Sample;;23/06/2017 05:23;109;7728;7;1;41407;78676;47362;7024;6059;56928;8774;353236;72210;2437;173420;28645;1511;29124;35484;146;12164;516;88;2312;28;7;2596;598;750;78;15;456;13687;501691;896;489;175;497
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4A2M.D;Sample;;23/06/2017 06:10;10;415;15;246;1959;15437;7997;2031;2352;18004;2948;101343;32367;348;45012;15188;728;11107;19475;270;4192;81;14;447;85;11;804;316;142;553;74;121;504;257562;643;112;170;313
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10A2M.D;Sample;;23/06/2017 06:56;38;808;16;30;5764;17601;9343;1902;3207;17945;3425;137433;30724;423;53041;11847;436;9931;19338;58;5029;76;58;1301;63;5;1289;290;339;255;73;73;4718;283899;673;185;374;301
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2C2M.D;Sample;;23/06/2017 07:42;106;13835;88;45;33955;91424;45023;6008;14623;64149;9441;258766;76545;1202;200110;31913;1644;26878;42440;168;10031;429;148;1240;163;3;1871;983;632;569;20;244;11094;540957;1692;522;163;85
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10A3M.D;Sample;;23/06/2017 08:28;60;2289;29;70;14069;39353;20783;4587;4642;32941;5444;239938;54569;936;94838;22877;1026;16367;26795;54;7752;132;87;1429;150;6;1671;414;626;285;39;138;10096;276733;643;284;473;243
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4C3M.D;Sample;;23/06/2017 09:14;82;2510;23;5;25658;53708;30833;5773;12262;59820;8266;492644;78779;2080;144245;34752;2748;29323;39578;84;16526;521;135;1391;47;67;3752;592;2234;2251;41;698;26430;484821;1288;853;268;142
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9B3M.D;Sample;;23/06/2017 10:31;100;17096;97;163;74708;120174;84610;12866;17657;77043;12877;925136;109763;2214;215996;40377;2696;34548;52861;20;17720;930;393;3300;150;2;5247;578;2706;547;9;595;50195;608618;1590;809;735;377
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10B2M.D;Sample;;23/06/2017 11:16;69;8329;8;52;31322;96178;52295;8712;14905;69472;10731;393317;98662;2107;223507;40826;2080;32485;49387;321;14849;664;95;3307;5;12;2953;911;1553;4986;162;426;24189;649756;1409;608;583;110
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2A1M.D;Sample;;23/06/2017 12:01;32;1170;27;92;6806;40665;19505;5036;5294;34824;7421;179111;66650;623;174368;27813;715;20401;41506;112;7829;192;159;2795;63;5;1578;376;330;1363;35;137;4666;486749;1161;332;87;879
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C1M FORSE.D;Sample;;23/06/2017 12:47;49;3017;65;152;15135;48250;26262;5058;8439;41299;6248;211968;57646;1663;145187;23915;1033;20600;31394;67;9399;357;53;497;105;9;1768;417;585;2034;16;334;13254;394164;1075;472;450;152
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9A3M.D;Sample;;23/06/2017 13:32;131;4085;22;225;38527;68372;34698;7896;5171;39495;7469;439301;80752;1200;151001;29703;1255;22304;40007;18;11011;305;15;1353;18;2;3435;516;2372;1603;40;178;24722;589538;1382;674;162;206
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4B3M.D;Sample;;23/06/2017 14:18;27;1329;4;14;33084;68001;39255;6948;14109;66501;11518;524405;95185;1541;274233;43209;2059;35402;57603;182;18122;397;97;316;21;21;4297;479;2163;45;29;534;29334;559001;1587;995;507;344
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10A1M.D;Sample;;23/06/2017 15:03;79;11330;34;201;65433;89363;45830;5355;9056;53771;9526;343809;71959;1699;171503;26439;1354;20115;35368;51;10174;501;22;2352;77;19;2397;541;1003;1509;39;285;13254;446166;683;423;136;202
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2A3M.D;Sample;;23/06/2017 15:49;49;1207;26;70;5123;26871;13398;1949;3955;23205;4723;120951;41396;435;63269;18919;604;13685;25958;159;5319;71;73;1512;38;8;1393;491;204;77;74;196;4443;358668;1151;254;766;319
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9A1M.D;Sample;;23/06/2017 18:45;69;6567;50;0;29975;86525;41407;8761;13474;52883;10383;362235;85045;1158;201184;32823;1614;24162;49610;98;11662;364;60;3474;20;4;2616;594;980;1095;77;249;43658;613937;1895;603;109;1184
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10C2M.D;Sample;;23/06/2017 19:31;85;10149;49;22;53001;105937;65061;9523;19268;85637;11804;595894;113643;2165;280500;47526;2352;41035;55350;136;16968;717;758;2480;597;19;5082;657;2853;655;59;751;37418;489033;2567;979;154;165
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4C2M.D;Sample;;23/06/2017 20:17;164;5887;32;85;33046;98505;50425;6560;7741;67376;11112;282495;87782;1649;222373;34897;1709;29430;47748;40;10765;542;55;1855;160;21;2255;623;633;6711;190;577;13116;586406;1451;410;86;477
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10B1M.D;Sample;;23/06/2017 21:03;91;3234;21;76;17461;63850;37775;6020;17862;59219;9843;319808;98398;1736;210050;35900;1608;29915;50609;33;14245;200;757;3259;93;7;2417;523;695;1244;35;508;16361;461315;1762;671;88;597
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2B2M.D;Sample;;23/06/2017 21:49;92;2745;7;83;22031;57311;32632;6746;10956;53326;8818;408916;75220;784;197116;33135;1366;27235;45632;366;14224;146;216;1723;28;0;3552;558;1970;628;32;448;30440;447333;1459;629;105;253
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2C3M.D;Sample;;23/06/2017 22:35;170;6580;20;133;18971;73449;36722;6608;9318;48374;9048;188682;62243;710;152931;28887;1195;21365;37874;121;8165;229;60;710;150;16;1488;290;449;1196;0;205;4553;340676;1401;275;909;453
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4A1M.D;Sample;;23/06/2017 23:21;75;2719;22;30;5967;33767;15745;2893;4876;24231;3637;108000;36030;549;91827;15399;846;12311;20791;83;3455;265;260;1692;6;9;676;154;104;679;31;121;3695;190114;627;161;544;62
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9A2M.D;Sample;;24/06/2017 00:07;110;6920;42;82;31792;65036;30551;4821;10080;39342;6888;240034;61177;718;155113;24055;989;18454;30905;85;7665;120;21;1147;5;3;1676;269;584;2992;1;192;4395;288384;763;309;393;374
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4C1M.D;Sample;;24/06/2017 00:53;183;17236;8;92;85230;108034;65828;11375;19082;70252;11440;462504;76490;3785;153248;27379;2105;24421;34958;45;12008;286;34;3395;33;6;2454;397;1503;4672;8;222;18232;268939;1050;454;71;795
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4A3M.D;Sample;;24/06/2017 01:39;65;2737;5;32;23034;45477;23001;4894;8877;36034;6691;250488;55406;554;88356;20745;894;14470;26832;259;5016;116;240;3121;30;25;1926;197;603;1803;1;176;6979;439997;916;284;41;846
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2A2M.D;Sample;;24/06/2017 02:25;92;2374;15;110;8390;49504;27753;7724;7679;45129;10577;184377;73293;417;136547;30208;1330;24935;47906;97;8882;276;22;706;66;7;1737;245;460;1832;77;336;5312;325315;1379;355;591;3206
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C3MR.D;Sample;;24/06/2017 03:11;39;7715;18;85;16657;66087;34382;5528;10577;42366;5621;177276;58564;1952;65216;22645;1235;19526;23056;45;7046;342;14;4796;100;9;1524;217;439;1784;3;286;13483;319744;936;337;200;622
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C1MR.D;Sample;;24/06/2017 03:57;88;2112;12;58;7775;4246;9366;1114;5153;15016;2018;68342;20095;512;56330;6938;589;6037;9623;49;2160;57;70;11059;26;5;490;133;107;278;64;76;5613;143908;219;111;314;570
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2B1 M.D;Sample;;26/06/2017 09:53;86;149;25;30;177;81268;2122;134;685;115;2162;72282;3912;2026;22677;2376;142;7543;13047;360;801;90;27;645;24;21;212;90;17;475;70;43;913;756;48;4120;73;914
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2B1 RICORSO M.D;Sample;;26/06/2017 10:38;22;267;42;39;522;3685;2250;45;255;457;987;2681;7409;112;55223;701;79;162;467;211;136;148;16;8468;159;9;10;47;11;524;197;12;533;728;96;35;40;888
